JAAR;PLAATS;Amsterdam Code,
1898;Amsterdam;11150,
1898;Haarlemmermeer;11387,
1898;Winterswijk;11119,
1898;Rotterdam;10345,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Hoogezand;10410,
1898;'s-Gravenhage;11434,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Pernis;11245,
1898;Amsterdam;11150,
1898;Knijpe;10680,
1898;Amsterdam;11150,
1898;Utrecht;10722,
1898;Amersfoort;10948,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1898;Amsterdam;11150,
1908;Opsterland;10005,
1908;Poortugaal;11395,
1908;Maastricht;10182,
1908;Enschede;10364,
1908;Leeuwarden;11228,
1900;Zaandam;11044,
1900;Den Ham;10395,
1900;Lisse;10197,
1900;Schoonoord;10489,
1900;Arnhem;10795,
1900;Amsterdam;11150,
1900;Nederhemert;10791,
1902;Amsterdam;11150,
1902;'s-Gravenhage;11434,
1902;Amersfoort;10948,
1902;Amsterdam;11150,
1902;Haarlem;10357,
1902;Brummen;10798,
1902;Amsterdam;11150,
1902;Emmer-Compascuum;11180,
1902;Amsterdam;11150,
1902;Sneek;11421,
1902;Amsterdam;11150,
1902;'s-Gravenhage;11434,
1900;Zaandam;11044,
1900;Amsterdam;11150,
1900;Rotterdam;10345,
1900;Amsterdam;11150,
1900;Rotterdam;10345,
1900;Beetgum;11144,
1900;Arnhem;10795,
1900;Beetgum;11144,
1900;Franeker;11226,
1900;Terneuzen;10704,
1900;Amsterdam;11150,
1900;Sas van Gent;10704,
1900;Amsterdam;11150,
1900;Amsterdam;11150,
1900;Bellingwolde;10340,
1900;Winschoten;10453,
1900;Noordwolde;10425,
1895;Leiden;10702,
1895;Maastricht;10182,
1895;Amsterdam;11150,
1895;Maastricht;10182,
1895;Amsterdam;11150,
1895;Enschede;10364,
1901;Heteren;10290,
1901;Wierden;10676,
1901;Enschede;10364,
1901;Bussum;10281,
1901;Rotterdam;10345,
1901;Delfstrahuizen;10022,
1901;Beetsterzwaag;10005,
1902;Groningen;10426,
1902;Amsterdam;11150,
1902;Zaandam;11044,
1902;Amsterdam;11150,
1902;Kampen;10253,
1902;?;,
1902;Houtrijk en Polanen;11252,
1903;Rotterdam;10345,
1904;Terwispel;10005,
1904;Finsterwolde;10212,
1904;Haarlem;10357,
1904;Zaltbommel;10557,
1904;Halfweg;10816,
1904;Vrijhoeve-Capelle;11233,
1904;Winterswijk;11119,
1889;Amsterdam;11150,
1889;Rotterdam;10345,
1889;Hoofddorp;11387,
1889;Amsterdam;11150,
1889;Amsterdam;11150,
1889;Rotterdam;10345,
1889;Rotterdam;10345,
1889;Amsterdam;11150,
1889;Rotterdam;10345,
1889;Knijpe;10680,
1889;Krommenie;10373,
1889;Amsterdam;11150,
1889;Amsterdam;11150,
1889;Rotterdam;10345,
1896;Rotterdam;10345,
1896;Amsterdam;11150,
1896;Amsterdam;11150,
1896;Rotterdam;10345,
1912;Amsterdam;11150,
1912;Utrecht;10722,
1912;'s-Gravenhage;11434,
1912;Rotterdam;10345,
1912;Schoterland;10680,
1912;Terneuzen;10704,
1912;Woudenberg;11398,
1912;Koog aan de Zaan;10776,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;'s-Gravenhage;11434,
1913;Maastricht;10182,
1913;Amsterdam;11150,
1913;Slochteren;10747,
1913;Hoogezand;10410,
1913;Dordrecht;11157,
1913;'s-Gravenhage;11434,
1913;Amsterdam;11150,
1913;Valkenswaard;11031,
1913;Amsterdam;11150,
1914;Bergen op Zoom;11037,
1914;Ede;10743,
1901;Doniawerstal;10086,
1901;Bussum;10281,
1901;Rotterdam;10345,
1901;Zaandam;11044,
1901;Rotterdam;10345,
1901;Giekerk;11241,
1901;Amsterdam;11150,
1901;Rotterdam;10345,
1901;Kantens;10372,
1901;Buiksloot;11150,
1901;Tilburg;10792,
1901;Amsterdam;11150,
1901;Terneuzen;10704,
1912;Tegelen;11333,
1904;Zwijndrecht;10468,
1904;Rotterdam;10345,
1904;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Breda;10154,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Teteringen;10677,
1905;Nieuwe Pekela;10848,
1905;Breda;10154,
1905;Groningen;10426,
1905;Amsterdam;11150,
1905;Nieuw-Buinen;10448,
1900;Amsterdam;11150,
1900;Tiel;10027,
1900;Wamel;10042,
1900;Arnhem;10795,
1900;Amsterdam;11150,
1900;Zaandam;11044,
1900;Terneuzen;10704,
1900;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Groningen;10426,
