JAAR;PLAATS;Amsterdam Code,
1919;Zwolle;10093,
1919;Wierden;10676,
1919;Enschede;10364,
1919;'s-Gravenhage;11434,
1919;Gouda;10302,
1919;Haarlem;10357,
1919;Haskerland;10022,
1919;Hengelo;10359,
1919;Hilvarenbeek;11297,
1919;'s-Hertogenbosch;10054,
1919;Hoogezand;10410,
1919;Vlagtwedde;11249,
1919;Borger;10448,
1919;Odoorn;11320,
1919;Sleen;10489,
1919;Zweeloo;10872,
1919;Weesp;10773,
1919;Assen;10522,
1919;Groningen;10426,
1919;Amsterdam;11150,
1919;Hoogeveen;10839,
1919;Enschede;10364,
1919;Leiden;10702,
1917;Arnhem;10795,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Alkmaar;10527,
1917;Amsterdam;11150,
1917;'s-Gravenhage;11434,
1917;'s-Gravenhage;11434,
1917;Loon op Zand;11259,
1917;Amsterdam;11150,
1917;Deventer;10899,
1917;Amsterdam;11150,
1917;'s-Gravenhage;11434,
1917;Emmen;11180,
1917;Lochem;11263,
1917;Hoogeveen;10839,
1917;Slochteren;10747,
1917;Venlo;10477,
1917;Gouda;10302,
1917;Muntendam;10550,
1917;Nieuwe Pekela;10848,
1917;Oude Pekela;10848,
1917;Veendam;11292,
1917;Wildervank;10825,
1917;Meeden;10304,
1918;Groningen;10426,
1918;Amsterdam;11150,
1918;'s-Gravenhage;11434,
1918;Rotterdam;10345,
1918;Alkmaar;10527,
1918;Rotterdam;10345,
1918;Groningen;10426,
1918;Spaarndam;10192,
1918;Leiden;10702,
1918;Ouder-Amstel;10998,
1918;Dreischor;10885,
1918;Sint Philipsland;10376,
1918;Rotterdam;10345,
1918;Haarlem;10357,
1918;'s-Gravenhage;11434,
1918;Velsen;10620,
1918;Hilversum;11285,
1918;Almelo;11053,
1918;Deventer;10899,
1918;drente;,
1918;'s-Gravenhage;11434,
1918;Groningen;10426,
1918;Stompwijk;10742,
1918;Vlaardingen;10811,
1918;Hilversum;11285,
1918;Rotterdam;10345,
1918;Almelo;11053,
1918;Rotterdam;10345,
1918;Velsen;10620,
1918;Amsterdam;11150,
1918;Oldenzaal;11100,
1918;landelijk;,
1918;Amsterdam;11150,
1918;Velsen;10620,
1918;Delft;10928,
1918;Amsterdam;11150,
1918;Delft;10928,
1918;Hilversum;11285,
1918;IJsselstein;10152,
1918;Amsterdam;11150,
1918;Rotterdam;10345,
1918;Rotterdam;10345,
1918;Dordrecht;11157,
1918;Rotterdam;10345,
1918;Amsterdam;11150,
1918;Amsterdam;11150,
1918;Spaarndam;10192,
1918;Voorburg;11103,
1918;Tiel;10027,
1917;Zaandam;11044,
1917;Arnhem;10795,
1917;Tilburg;10792,
1917;Leiden;10702,
1917;Utrecht;10722,
1917;Meppel;11204,
1917;Amsterdam;11150,
1917;'s-Gravenhage;11434,
1917;Rotterdam;10345,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1918;Oldenzaal;11100,
1918;Delft;10928,
1918;Rheden;11355,
1918;Amsterdam;11150,
1918;Dordrecht;11157,
1918;Delfzijl;10976,
1918;Slochteren;10747,
1918;Termunten;11023,
1918;Delft;10928,
1918;Termunten;11023,
1918;Amsterdam;11150,
1918;Enschede;10364,
1919;Hengelo;10359,
1919;Rotterdam;10345,
1919;Rotterdam;10345,
1919;Scheemda;10711,
1919;Schoterland;10680,
1919;Nijmegen;11209,
1919;Zaandam;11044,
1920;Rotterdam;10345,
1920;Rotterdam;10345,
1920;Enschede;10364,
1920;Amsterdam;11150,
1920;Zaltbommel;10557,
1920;Deventer;10899,
1918;Oude Pekela;10848,
1918;Hilversum;11285,
1918;Andijk;10822,
1918;Amsterdam;11150,
1918;Utrecht;10722,
1918;Amsterdam;11150,
1918;Amsterdam;11150,
1918;Weststellingwerf;11322,
1918;Maastricht;10182,
1918;Monster;10019,
1918;Rotterdam;10345,
1918;Rotterdam;10345,
1917;Steenwijk;10546,
1917;Sloten;10867,
1917;Schoterland;10680,
1917;Odoorn;11320,
1917;Nijmegen;11209,
1917;'s-Gravenhage;11434,
1917;Veendam;11292,
1917;Maastricht;10182,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Rotterdam;10345,
1917;Stompwijk;10742,
1917;Leidschendam;10742,
1917;Stratum;10172,
1917;Rotterdam;10345,
1917;Terneuzen;10704,
1917;Tilburg;10792,
1917;Wildervank;10825,
1917;Wildervank;10825,
1917;Amsterdam;11150,
1917;Rotterdam;10345,
1917;'s-Gravenhage;11434,
1917;Nieuwleusen;10384,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1917;Arnhem;10795,
1917;Bergen op Zoom;11037,
1917;Culemborg;10342,
1917;'s-Gravenhage;11434,
1917;Doesburg;10327,
1902;Giethoorn;10708,
1902;Oldemarkt;10858,
1902;Steenwijk;10546,
1902;Steenwijkerwold;11347,
1902;Vollenhove;11088,
1905;Groningen;10426,
1905;Amsterdam;11150,
1905;Veendam;11292,
1905;Amsterdam;11150,
1905;Hoogeloon;10657,
1905;Breda;10154,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Rotterdam;10345,
1905;Eindhoven;11298,
1905;Amsterdam;11150,
1905;Uden;11141,
1905;Tilburg;10792,
1905;Boxtel;10083,
1905;Rotterdam;10345,
1905;Rotterdam;10345,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Tilburg;10792,
1905;Haarlem;10357,
1907;Amsterdam;11150,
1907;Winschoten;10453,
1907;Amsterdam;11150,
1907;Zutphen;10254,
1907;Venray;11222,
1907;Amsterdam;11150,
1907;Vught;11224,
1907;Rotterdam;10345,
1907;'s-Gravenhage;11434,
1907;Amsterdam;11150,
1907;Haarlem;10357,
1907;Nieuwendam;11150,
1921;Amsterdam;11150,
1921;Amsterdam;11150,
1921;Maassluis;10880,
1921;Amsterdam;11150,
1921;Woerden;10974,
1921;Groningen;10426,
1921;'s-Gravenhage;11434,
1921;Rotterdam;10345,
1921;Utrecht;10722,
1921;Zwolle;10093,
1921;Wormerveer;10361,
1921;Domburg;10236,
1921;Utrecht;10722,
1921;Rotterdam;10345,
1911;Eindhoven;11298,
1914;Amsterdam;11150,
1914;'s-Gravenhage;11434,
1914;Ooststellingwerf;10836,
1914;Vledder;11120,
1914;Utrecht;10722,
1914;Wildervank;10825,
1914;Amsterdam;11150,
1914;Sloten;10867,
1914;Rotterdam;10345,
1914;Amsterdam;11150,
1914;Amsterdam;11150,
1915;Borne;10326,
1915;Velsen;10620,
1911;Amsterdam;11150,
1911;Amsterdam;11150,
1911;Sneek;11421,
1911;Wormer;10648,
1911;Rotterdam;10345,
1911;Amersfoort;10948,
1911;Woensel;10894,
1911;Amsterdam;11150,
1911;Amsterdam;11150,
1911;Heerlen;10902,
1911;Utrecht;10722,
1913;Tilburg;10792,
1913;Amsterdam;11150,
1913;Enkhuizen;10729,
1913;Oude Pekela;10848,
1913;Krommenie;10373,
1913;Haarlem;10357,
1913;Rotterdam;10345,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;Ede;10743,
1913;Maastricht;10182,
1913;IJmuiden;10620,
1902;Meppel;11204,
1902;Almelo;11053,
1902;Wildervank;10825,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;'s-Gravenhage;11434,
1902;Weerdingermond;11249,
1902;Haarlem;10357,
1902;Echteld;10832,
1902;Gouda;10302,
1902;Groningen;10426,
1902;Amsterdam;11150,
1902;Winterswijk;11119,
1902;Leens;11050,
1902;Nieuwer-Amstel;10799,
1902;Amsterdam;11150,
1902;Deventer;10899,
1902;Amsterdam;11150,
1902;Warffum;10498,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Leiden;10702,
1902;'s-Gravenhage;11434,
1902;Schiedam;11260,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Goirle;10971,
1902;Amsterdam;11150,
1902;Rotterdam;10345,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Deventer;10899,
1902;Amsterdam;11150,
1902;Rotterdam;10345,
1902;Rotterdam;10345,
1902;Amsterdam;11150,
1902;Almelo;11053,
1902;Ommelanderwijk;11292,
1902;Amsterdam;11150,
1902;Capelle a/d Ijssel;11248,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Oud-Beyerland;,
1902;Amsterdam;11150,
1902;Steenwijk;10546,
1902;'s-Gravenhage;11434,
1902;Amsterdam;11150,
1902;Jubbega;10680,
1902;Bladel;11006,
1902;Stadskanaal;10825,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Steenwijk;10546,
1902;Oldenzaal;11100,
1902;Alkmaar;10527,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Culemborg;10342,
1902;Amsterdam;11150,
1902;Zaandam;11044,
1902;Amsterdam;11150,
1903;Rotterdam;10345,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Enschede;10364,
1903;Voorburg;11103,
1903;Amsterdam;11150,
1903;Leiden;10702,
1903;Utrecht;10722,
1903;Amsterdam;11150,
1903;Zaandam;11044,
1903;Haarlem;10357,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;'s-Gravenhage;11434,
1903;Hengelo;10359,
1903;Zutphen;10254,
1903;Amsterdam;11150,
1903;Leiden;10702,
1903;'s-Gravenhage;11434,
1903;Enschede;10364,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Groningen;10426,
1903;Amsterdam;11150,
1903;Haarlem;10357,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Rotterdam;10345,
1903;Rotterdam;10345,
1903;Amsterdam;11150,
1903;Roosendaal;10407,
1903;Eexterveen;10787,
1903;Wildervank;10825,
1903;Bloemendaal;10850,
1903;Amsterdam;11150,
1903;Johannes Kerkhovenpolder;11023,
1903;Amsterdam;11150,
1903;Stadskanaal;10825,
1903;Utrecht;10722,
1903;'s-Gravenhage;11434,
1903;Zutphen;10254,
1903;Amsterdam;11150,
1903;Assen;10522,
1903;'s-Gravenhage;11434,
1903;Zaandijk;11404,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Terneuzen;10704,
1903;Amsterdam;11150,
1903;Sappemeer;10080,
1903;Velsen;10620,
1903;Leiden;10702,
1903;Zaandam;11044,
1903;Hilversum;11285,
1903;Harlingen;10909,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Winschoten;10453,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Kolham;10747,
1903;landelijk;,
1903;Lemmer;10142,
1903;Almelo;11053,
1903;Nieuw-Buinen;10448,
1903;Breda;10154,
1903;Sappemeer;10080,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Naaldwijk;11418,
1903;Arnhem;10795,
1903;Amsterdam;11150,
1903;Waalwijk;11359,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Groningen;10426,
1903;Breda;10154,
1903;Amsterdam;11150,
1903;Gasselternijveen;11099,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Haarlem;10357,
1903;Emmer-Compascuum;11180,
1903;Oudenbosch;10397,
1903;'s-Gravenhage;11434,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Amsterdam;11150,
1903;Deventer;10899,
1903;Amsterdam;11150,
1903;Steenwijk;10546,
1903;Amsterdam;11150,
1903;Rotterdam;10345,
1903;Amsterdam;11150,
1903;Rotterdam;10345,
1903;Amsterdam;11150,
1903;Haarlem;10357,
1903;Leende;11017,
1904;Tilburg;10792,
1904;'s-Gravenhage;11434,
1904;Doetinchem;10396,
1904;Utrecht;10722,
1904;Utrecht;10722,
1904;Helmond;10932,
1904;Haarlem;10357,
1904;Rotterdam;10345,
1904;Amsterdam;11150,
1904;Ede;10743,
1904;Groningen;10426,
1904;Groningen;10426,
1904;Tilburg;10792,
1904;Amsterdam;11150,
1904;Goirle;10971,
1904;Amsterdam;11150,
1904;Groningen;10426,
1904;Nijmegen;11209,
1904;Utrecht;10722,
1904;Deventer;10899,
1904;Deventer;10899,
1904;Foxhol;10410,
1904;Kampen;10253,
1904;Susteren;10457,
1904;Amsterdam;11150,
1904;Deventer;10899,
1904;Veenendaal;11052,
1904;Rotterdam;10345,
1904;Delfzijl;10976,
1904;Gasselte;11099,
1904;Veenendaal;11052,
1904;Haarlemmermeer;11387,
1904;Raamsdonk;11391,
1906;Emmen;11180,
1906;Amsterdam;11150,
1906;Rotterdam;10345,
1906;Winsum;11135,
1906;Loppersum;10934,
1906;Deventer;10899,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Dordrecht;11157,
1906;Veenendaal;11052,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Dokkum;10198,
1906;Dordrecht;11157,
1906;Veenendaal;11052,
1906;Loppersum;10934,
1908;Ten Boer;10891,
1908;Rotterdam;10345,
1908;Utrecht;10722,
1908;Deventer;10899,
1908;Tilburg;10792,
1908;Haarlem;10357,
1915;Tilburg;10792,
1915;Amsterdam;11150,
1915;Amsterdam;11150,
1915;'s-Gravenhage;11434,
1915;Amsterdam;11150,
1915;Amsterdam;11150,
1915;Amsterdam;11150,
1915;Amsterdam;11150,
1915;Amsterdam;11150,
1915;Amsterdam;11150,
1915;Rotterdam;10345,
1915;'s-Gravenhage;11434,
1915;Amsterdam;11150,
1915;Velsen;10620,
1907;Enschede;10364,
1907;Amsterdam;11150,
1907;Stratum;10172,
1907;Haarlem;10357,
1907;Maastricht;10182,
1907;Amsterdam;11150,
1907;Amsterdam;11150,
1908;Delft;10928,
1908;Rotterdam;10345,
1908;Dordrecht;11157,
1915;Sappemeer;10080,
1916;Zaandam;11044,
1909;Purmerend;11066,
1909;Amsterdam;11150,
1909;Oldekerk;11332,
1909;Bolsward;10865,
1909;Gestel;11298,
1909;Amsterdam;11150,
1909;Lochem;11263,
1909;Rotterdam;10345,
1909;Amsterdam;11150,
1909;'s-Gravenhage;11434,
1909;Loon op Zand;11259,
1909;Rotterdam;10345,
1909;Loon op Zand;11259,
1909;Amsterdam;11150,
1909;Enschede;10364,
1909;Goor;10076,
1909;Hilvarenbeek;11297,
1909;Groningen;10426,
1909;Tilburg;10792,
1909;Amsterdam;11150,
1909;Best;10442,
1909;Dordrecht;11157,
1912;Amsterdam;11150,
1912;Poortugaal;11395,
1912;Gouda;10302,
1912;Amsterdam;11150,
1912;'s-Gravenhage;11434,
1912;Joure;10022,
1912;Noordwolde;10425,
1912;Weststellingwerf;11322,
1912;Ooststellingwerf;10836,
1912;Bergen;11424,
1912;Gouda;10302,
1912;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1909;Amsterdam;11150,
1909;Nijmegen;11209,
1906;Groningen;10426,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Haarlem;10357,
1906;Loosduinen;11434,
1906;Rotterdam;10345,
1906;Dordrecht;11157,
1906;Wassenaar;10164,
1906;Leeuwarden;11228,
1906;'s-Gravenhage;11434,
1908;'s-Gravenhage;11434,
1908;Steenwijkerwold;11347,
1908;Rotterdam;10345,
1908;Tilburg;10792,
1908;Amsterdam;11150,
1908;Amsterdam;11150,
1908;Muiden;10958,
1908;Leeuwarden;11228,
1908;Moergestel;11191,
1908;Sloten;10867,
1908;Arnhem;10795,
1908;Woensel;10894,
1908;Arnhem;10795,
1910;Zaandam;11044,
1910;Amsterdam;11150,
1910;Gouda;10302,
1910;Amsterdam;11150,
1910;Bellingwolde;10340,
1910;Nieuweschans;10008,
1910;Hilversum;11285,
1910;Amsterdam;11150,
1910;Amersfoort;10948,
1910;Alkmaar;10527,
1910;Amsterdam;11150,
1910;Enschede;10364,
1910;Amsterdam;11150,
1910;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Beetgum;11144,
1912;'s-Gravenhage;11434,
1912;Veendam;11292,
1912;Hoorn;11392,
1912;Alkmaar;10527,
1912;Groningen;10426,
1912;'s-Hertogenbosch;10054,
1912;Slochteren;10747,
1912;Zaandam;11044,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Ouder-Amstel;10998,
1912;Zeist;10324,
1912;Amsterdam;11150,
1912;Weststellingwerf;11322,
1912;Wolvega;11322,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Rheden;11355,
1912;Tiel;10027,
1912;Rotterdam;10345,
1912;Rotterdam;10345,
1912;Zaandam;11044,
1913;Schiedam;11260,
1913;Tilburg;10792,
1913;Oisterwijk;10103,
1913;Emmen;11180,
1913;Amsterdam;11150,
1913;'s-Gravenhage;11434,
1913;Nieuwerkerk;10911,
1913;Zaandam;11044,
1913;Groningen;10426,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;Rotterdam;10345,
1913;Almelo;11053,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;Amsterdam;11150,
1913;Culemborg;10342,
1913;Odoorn;11320,
1913;Amsterdam;11150,
1913;Langedijk;10955,
1913;Schoonoord;10489,
1913;Finsterwolde;10212,
1913;Assen;10522,
1913;Rotterdam;10345,
1913;Onstwedde;10610,
1913;Nieuwolda;10126,
1913;Amsterdam;11150,
1917;Westerbork;11095,
1917;Groningen;10426,
1917;Zeist;10324,
1917;Leiden;10702,
1917;Rotterdam;10345,
1917;Odoorn;11320,
1917;Sleen;10489,
1917;Vlagtwedde;11249,
1917;Winschoten;10453,
1917;'s-Gravenhage;11434,
1917;Velsen;10620,
1917;Groningen;10426,
1917;Dordrecht;11157,
1917;Amsterdam;11150,
1917;Amsterdam;11150,
1906;Tilburg;10792,
1906;Krommenie;10373,
1906;Amsterdam;11150,
1906;Winschoten;10453,
1906;'s-Gravenhage;11434,
1906;Amsterdam;11150,
1906;'s-Gravenhage;11434,
1906;Amsterdam;11150,
1906;Groningen;10426,
1906;Weststellingwerf;11322,
1906;Nijmegen;11209,
1906;Wageningen;11010,
1907;Deventer;10899,
1907;Amsterdam;11150,
1907;Deventer;10899,
1907;Rotterdam;10345,
1907;Leeuwarden;11228,
1907;Veendam;11292,
1907;Amsterdam;11150,
1907;Amsterdam;11150,
1907;Arnhem;10795,
1907;Dordrecht;11157,
1907;Smallingerland;10405,
1907;Deventer;10899,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Rotterdam;10345,
1912;Rotterdam;10345,
1912;Amsterdam;11150,
1912;Harlingen;10909,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Noordwijk;10769,
1912;Rotterdam;10345,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Sliedrecht;11331,
1912;Tilburg;10792,
1912;Deventer;10899,
1912;Amsterdam;11150,
1912;Leiden;10702,
1912;Schiedam;11260,
1912;Wormerveer;10361,
1912;Winterswijk;11119,
1912;Dirksland;11344,
1912;Amsterdam;11150,
1912;Amsterdam;11150,
1912;Rotterdam;10345,
1905;Gemert;10277,
1905;Rotterdam;10345,
1905;Rotterdam;10345,
1905;Haarlem;10357,
1905;Haarlem;10357,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1908;Rotterdam;10345,
1908;Rheden;11355,
1908;Diemen;11039,
1908;'s-Gravenhage;11434,
1908;Onstwedde;10610,
1908;Tiel;10027,
1908;Rotterdam;10345,
1908;Eindhoven;11298,
1908;Amsterdam;11150,
1908;Amsterdam;11150,
1908;Amsterdam;11150,
1908;Meeden;10304,
1907;Amsterdam;11150,
1907;Almelo;11053,
1907;Amsterdam;11150,
1907;Amsterdam;11150,
1907;Boxtel;10083,
1908;Amsterdam;11150,
1908;Veenendaal;11052,
1908;Rotterdam;10345,
1908;Weststellingwerf;11322,
1908;Almelo;11053,
1908;Amsterdam;11150,
1908;Haarlemmermeer;11387,
1908;Spaarnwoude;10508,
1908;'s-Hertogenbosch;10054,
1908;Ouder-Amstel;10998,
1908;Ede;10743,
1908;Gouda;10302,
1908;Almelo;11053,
1908;Rotterdam;10345,
1908;Deventer;10899,
1908;Winterswijk;11119,
1908;Opsterland;10005,
1908;Rotterdam;10345,
1908;Rotterdam;10345,
1908;Groningen;10426,
1909;Amsterdam;11150,
1909;Amsterdam;11150,
1909;Amsterdam;11150,
1909;Amsterdam;11150,
1909;Amsterdam;11150,
1904;Winschoten;10453,
1904;Baarn;11411,
1904;Hilversum;11285,
1904;Meeden;10304,
1904;Uithuizen;11137,
1904;Amsterdam;11150,
1904;Vledderveen;11120,
1904;Finsterwolde;10212,
1904;Beerta;11043,
1904;Stadskanaal;10825,
1904;Amsterdam;11150,
1904;Gouda;10302,
1904;Nieuw-Buinen;10448,
1904;Exloo;11320,
1904;Almelo;11053,
1904;Borculo;11307,
1904;Amsterdam;11150,
1904;Groningen;10426,
1904;Beerta;11043,
1904;Hembrug;11044,
1904;Utrecht;10722,
1904;Zoeterwoude;11074,
1904;Groningen;10426,
1904;zuid-holland;,
1904;Enschede;10364,
1904;Groningen;10426,
1904;Wijnaldum;10156,
1904;Heerenveen;10680,
1904;Rotterdam;10345,
1904;Amsterdam;11150,
1904;Hilvarenbeek;11297,
1904;Veenendaal;11052,
1904;Amsterdam;11150,
1904;Amsterdam;11150,
1904;Besoijen;11359,
1904;Amsterdam;11150,
1904;Almelo;11053,
1904;Oldenzaal;11100,
1904;Winsum;11135,
1904;'s-Gravenhage;11434,
1904;'s-Gravenhage;11434,
1904;Leiden;10702,
1904;Amsterdam;11150,
1904;Amsterdam;11150,
1904;Amsterdam;11150,
1904;Rotterdam;10345,
1904;Amsterdam;11150,
1904;Amsterdam;11150,
1904;Amsterdam;11150,
1904;Purmerend;11066,
1904;Oud-Beyerland;,
1904;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Scheveningen;11434,
1905;Amsterdam;11150,
1905;Haarlem;10357,
1905;Amersfoort;10948,
1905;Tilburg;10792,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1905;Rotterdam;10345,
1905;Rotterdam;10345,
1905;Delfzijl;10976,
1905;Rotterdam;10345,
1905;Amsterdam;11150,
1905;Groningen;10426,
1905;Amsterdam;11150,
1905;Wijk bij Duurstede;10760,
1905;Amsterdam;11150,
1905;Groningen;10426,
1905;Amsterdam;11150,
1905;'s-Gravenhage;11434,
1905;Exloo;11320,
1905;Amsterdam;11150,
1905;Sas van Gent;10704,
1905;Amsterdam;11150,
1905;Maastricht;10182,
1905;Sappemeer;10080,
1905;Amsterdam;11150,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1905;Groningen;10426,
1905;Delft;10928,
1905;Delft;10928,
1905;Hilversum;11285,
1905;Enschede;10364,
1905;Naarden;10187,
1905;Oude Pekela;10848,
1905;Maastricht;10182,
1905;Amsterdam;11150,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1905;Rotterdam;10345,
1905;Breda;10154,
1905;'s-Gravenhage;11434,
1905;Wageningen;11010,
1905;Nijmegen;11209,
1905;Jutphaas;10374,
1905;Utrecht;10722,
1905;'s-Gravenhage;11434,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Zwijndrecht;10468,
1905;Vlaardingen;10811,
1905;Vledderveen;11120,
1905;Rotterdam;10345,
1905;Amsterdam;11150,
1905;Enschede;10364,
1905;Rotterdam;10345,
1905;Amsterdam;11150,
1905;Middelburg;10483,
1905;Amsterdam;11150,
1905;Naarden;10187,
1905;Rotterdam;10345,
1905;Harlingen;10909,
1905;Enschede;10364,
1905;'s-Gravenhage;11434,
1905;Sliedrecht;11331,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;'s-Gravenhage;11434,
1905;Santpoort;10620,
1905;Wormerveer;10361,
1905;Tiel;10027,
1905;Emmer-Erfscheidenveen;11180,
1905;Groningen;10426,
1905;Amsterdam;11150,
1905;Zaandam;11044,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Rotterdam;10345,
1905;Utrecht;10722,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Sas van Gent;10704,
1905;Amsterdam;11150,
1905;Amsterdam;11150,
1905;Boxmeer;11227,
1905;Rotterdam;10345,
1905;Breda;10154,
1905;Haarlem;10357,
1905;'s-Gravenhage;11434,
1905;Enschede;10364,
1905;Eindhoven;11298,
1905;Amsterdam;11150,
1906;Vlissingen;10270,
1906;Wageningen;11010,
1906;Hilversum;11285,
1906;'s-Gravenhage;11434,
1906;Bussum;10281,
1906;Rotterdam;10345,
1906;Krommenie;10373,
1906;Amsterdam;11150,
1906;Assen;10522,
1906;'s-Gravenhage;11434,
1906;Amsterdam;11150,
1906;'s-Gravenhage;11434,
1906;Amsterdam;11150,
1906;Holten;11246,
1906;Doniawerstal;10086,
1906;Almelo;11053,
1906;Amsterdam;11150,
1906;Rotterdam;10345,
1906;Eindhoven;11298,
1906;Rotterdam;10345,
1906;Amsterdam;11150,
1906;Elst;11188,
1906;Hilversum;11285,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Domburg;10236,
1906;Wageningen;11010,
1906;Rotterdam;10345,
1906;Schiedam;11260,
1906;'s-Gravenhage;11434,
1906;'s-Gravenhage;11434,
1906;'s-Gravenhage;11434,
1906;Utrecht;10722,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Delft;10928,
1906;Amsterdam;11150,
1906;Kantens;10372,
1906;Leiden;10702,
1906;Eindhoven;11298,
1906;Amsterdam;11150,
1906;Arnhem;10795,
1906;Arnhem;10795,
1906;Rotterdam;10345,
1906;Rotterdam;10345,
1906;Weesp;10773,
1906;Renkum;11325,
1906;Rotterdam;10345,
1906;Groningen;10426,
1906;Emmen;11180,
1906;Amsterdam;11150,
1906;Rotterdam;10345,
1906;Loppersum;10934,
1906;Westkapelle;10931,
1906;Amsterdam;11150,
1906;Rotterdam;10345,
1906;Amsterdam;11150,
1906;Arnhem;10795,
1906;Winschoten;10453,
1906;Groningen;10426,
1906;Haarlem;10357,
1906;Rilland-Bath;10479,
1906;Zaandam;11044,
1906;Meeden;10304,
1906;Hembrug;11044,
1906;Veendam;11292,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Breda;10154,
1906;Borger;10448,
1906;Amsterdam;11150,
1906;Breda;10154,
1906;Amsterdam;11150,
1906;Alblasserdam;11327,
1906;Pekela;10848,
1906;Zierikzee;10843,
1906;Wageningen;11010,
1906;Sommelsdijk;11097,
1906;Termunten;11023,
1906;Amsterdam;11150,
1906;Enschede;10364,
1906;Amsterdam;11150,
1906;Winschoten;10453,
1906;Emmen;11180,
1906;Weststellingwerf;11322,
1906;Deventer;10899,
1906;Amsterdam;11150,
1906;Rotterdam;10345,
1906;Amsterdam;11150,
1906;Amsterdam;11150,
1906;Rotterdam;10345,
1906;Groningen;10426,
1906;Amsterdam;11150,
1908;Midwolda;10356,
1908;Borger;10448,
1908;Amsterdam;11150,
1908;Laren;10649,
1908;Amsterdam;11150,
1908;Arnhem;10795,
1910;'s-Gravenhage;11434,
1910;Delft;10928,
1910;Amsterdam;11150,
1910;Delft;10928,
1910;Rotterdam;10345,
1910;Delft;10928,
